unique_id,provider_id_empl_inter,date_intermediate_employment_outcome,intermediate_employment_outcome_type
NB-83,,2023-04-27,"employability, mentoring and/or coaching, qualifications or skills, training course"
KD-22,,2023-03-13,"Internship, Volunteering, business plan for self-employment, employability, mentoring and/or coaching"
BW-90,represent,2023-06-05,"business plan for self-employment, training course, work experience"
OT-83,drive,2023-05-30,"mentoring and/or coaching, qualifications or skills"
JV-17,power,2023-06-10,"Volunteering, another specified activity, work experience"
LF-18,,2023-02-26,"Registered business for self-employment, business plan for self-employment, employability, qualifications or skills"
ES-53,four,2023-03-22,"Registered business for self-employment, another specified activity, business plan for self-employment, qualifications or skills"
FI-70,,2023-02-20,"Volunteering, another specified activity, qualifications or skills, sector-specific language training"
NL-94,factor,2023-01-25,"Internship, sector-specific language training, work experience"
JC-47,,2023-05-15,"Registered business for self-employment, business plan for self-employment, mentoring and/or coaching, sector-specific language training, work experience"
FE-53,not,2023-04-25,"Registered business for self-employment, qualifications or skills, work experience"
TV-59,student,2023-04-04,"employability, mentoring and/or coaching, qualifications or skills, work experience"
XW-30,fire,2023-05-09,"Registered business for self-employment, Volunteering, qualifications or skills, sector-specific language training"
MG-14,daughter,2023-04-26,"Registered business for self-employment, Volunteering, business plan for self-employment, qualifications or skills"
EO-17,,2023-05-24,"Internship, qualifications or skills, work experience"
SQ-93,difference,2023-05-09,"Internship, mentoring and/or coaching, sector-specific language training"
QI-15,thought,2023-06-05,"Registered business for self-employment, Volunteering, employability, qualifications or skills"
ZS-04,,2023-05-03,"another specified activity, business plan for self-employment, mentoring and/or coaching"
PE-44,,2023-04-01,"employability, mentoring and/or coaching, training course, work experience"
PO-96,need,2023-04-21,"Internship, another specified activity, work experience"
EK-73,edge,2023-04-24,"Registered business for self-employment, business plan for self-employment, qualifications or skills, work experience"
OL-56,daughter,2023-01-28,"Registered business for self-employment, employability, training course"
NC-31,imagine,2023-04-24,"Internship, Registered business for self-employment, another specified activity, mentoring and/or coaching, training course"
RM-42,environmental,2023-02-16,"Internship, Volunteering, another specified activity, qualifications or skills"
OM-43,,2023-02-18,"Internship, employability, mentoring and/or coaching, qualifications or skills"
WW-02,,2023-05-30,"Registered business for self-employment, another specified activity, sector-specific language training"
CM-00,your,2023-04-10,"Internship, Volunteering, another specified activity"
VF-98,by,2023-05-27,"business plan for self-employment, training course, work experience"
MU-73,modern,2023-03-09,"Volunteering, another specified activity, employability, training course"
QE-51,always,2023-02-18,"Internship, Volunteering, work experience"
QC-66,husband,2023-06-07,"Internship, employability, sector-specific language training"
GL-10,great,2023-03-15,"Registered business for self-employment, Volunteering, another specified activity, qualifications or skills, training course"
GY-42,,2023-06-04,"Registered business for self-employment, employability, mentoring and/or coaching"
SK-94,,2023-04-18,"Internship, another specified activity, qualifications or skills, training course"
FV-47,quality,2023-02-27,"Registered business for self-employment, employability, mentoring and/or coaching, sector-specific language training, training course"
UX-04,term,2023-04-30,"business plan for self-employment, employability, sector-specific language training"
FS-73,,2023-06-05,"Internship, Volunteering, mentoring and/or coaching, work experience"
ZH-95,have,2023-03-11,"Internship, employability, training course"
JQ-39,,2023-04-05,"Internship, Volunteering, employability, qualifications or skills"
MY-35,,2023-03-07,"another specified activity, mentoring and/or coaching, qualifications or skills"
SE-22,,2023-02-08,"Registered business for self-employment, employability, mentoring and/or coaching, training course"
OJ-15,bed,2023-03-21,"Volunteering, mentoring and/or coaching, sector-specific language training, training course"
QH-38,,2023-05-15,"Internship, training course"
VB-63,,2023-06-10,"Volunteering, qualifications or skills, sector-specific language training, work experience"
MU-65,,2023-05-06,"employability, mentoring and/or coaching, training course"
PN-22,everyone,2023-02-23,"Internship, sector-specific language training, work experience"
LC-36,trial,2023-02-15,"Registered business for self-employment, mentoring and/or coaching, work experience"
AU-81,teacher,2023-01-27,"business plan for self-employment, mentoring and/or coaching, work experience"
XF-78,,2023-05-27,"another specified activity, employability"
KY-42,,2023-05-23,"business plan for self-employment, sector-specific language training, work experience"
GS-67,region,2023-04-09,"Internship, another specified activity, qualifications or skills, sector-specific language training"
LJ-69,image,2023-01-17,"Internship, Registered business for self-employment, employability, qualifications or skills"
AL-94,manager,2023-03-04,"qualifications or skills, sector-specific language training"
OF-08,,2023-02-28,"Volunteering, employability, training course"
FP-94,know,2023-05-16,"business plan for self-employment, training course, work experience"
GE-81,,2023-03-10,"Volunteering, another specified activity, business plan for self-employment, employability, work experience"
ZL-18,,2023-05-24,"Volunteering, another specified activity, business plan for self-employment, training course"
EI-58,sort,2023-05-30,"Registered business for self-employment, Volunteering, mentoring and/or coaching, sector-specific language training"
MU-40,,2023-04-01,"Volunteering, business plan for self-employment, employability"
RW-22,,2023-02-11,"Registered business for self-employment, another specified activity, training course, work experience"
SW-00,,2023-04-04,"Internship, qualifications or skills, training course, work experience"
JQ-24,,2023-04-11,"qualifications or skills, sector-specific language training, training course, work experience"
OT-19,form,2023-03-07,"Internship, Volunteering, business plan for self-employment, qualifications or skills, work experience"
NU-66,radio,2023-05-15,"Volunteering, employability, mentoring and/or coaching"
OU-47,place,2023-04-25,"qualifications or skills, sector-specific language training"
NB-74,,2023-02-06,"Internship, another specified activity, business plan for self-employment, employability"
XC-80,nation,2023-04-28,"Internship, qualifications or skills, work experience"
OE-47,,2023-02-04,"employability, mentoring and/or coaching, sector-specific language training"
MH-24,,2023-04-22,"Internship, employability, training course, work experience"
PA-12,,2023-05-06,"Volunteering, another specified activity, business plan for self-employment, sector-specific language training"
FK-64,,2023-05-21,"Registered business for self-employment, mentoring and/or coaching, qualifications or skills, training course"
UY-77,,2023-03-30,"Internship, qualifications or skills"
SL-86,strategy,2023-04-14,"Internship, Volunteering, employability, work experience"
OL-85,,2023-02-26,"Internship, Registered business for self-employment, Volunteering"
CK-61,spend,2023-05-12,"employability, qualifications or skills"
TF-06,,2023-01-17,"Registered business for self-employment, qualifications or skills, sector-specific language training"
YM-06,agree,2023-01-23,"Internship, mentoring and/or coaching, sector-specific language training"
QK-67,note,2023-04-18,"Internship, sector-specific language training, training course"
NJ-90,,2023-06-09,"Internship, Registered business for self-employment, Volunteering, mentoring and/or coaching, qualifications or skills"
NY-47,,2023-05-26,"Internship, business plan for self-employment, mentoring and/or coaching"
IR-03,debate,2023-02-28,"employability, qualifications or skills, sector-specific language training"
FE-41,,2023-02-06,"Volunteering, another specified activity, business plan for self-employment, qualifications or skills"
CE-61,such,2023-01-16,"Internship, another specified activity, employability, mentoring and/or coaching"
JW-46,believe,2023-02-07,"employability, mentoring and/or coaching, work experience"
KJ-81,,2023-03-09,"employability, qualifications or skills, training course, work experience"
RQ-00,,2023-04-25,"Internship, Registered business for self-employment, business plan for self-employment, employability, sector-specific language training"
RR-41,administration,2023-03-18,"Registered business for self-employment, Volunteering, sector-specific language training, work experience"
TF-16,,2023-01-20,"Internship, Volunteering, sector-specific language training, training course"
EP-55,newspaper,2023-05-12,"another specified activity, training course, work experience"
LD-31,area,2023-01-20,"business plan for self-employment, qualifications or skills, training course, work experience"
KL-58,,2023-02-22,"qualifications or skills, training course, work experience"
JG-84,great,2023-01-14,"Internship, Volunteering, employability, mentoring and/or coaching"
ZQ-08,,2023-02-28,"Registered business for self-employment, employability, mentoring and/or coaching, qualifications or skills, work experience"
FZ-46,,2023-03-31,"another specified activity, business plan for self-employment, employability, work experience"
TF-80,another,2023-02-17,"Registered business for self-employment, another specified activity, mentoring and/or coaching, qualifications or skills"
NK-05,their,2023-06-08,"employability, qualifications or skills, training course"
DK-49,,2023-01-26,"employability, mentoring and/or coaching, qualifications or skills"
SD-80,,2023-04-12,"Registered business for self-employment, Volunteering, employability, qualifications or skills"
QG-71,manage,2023-04-12,"Internship, Registered business for self-employment, sector-specific language training, training course"
FF-19,,2023-05-10,"Registered business for self-employment, Volunteering, sector-specific language training"
TA-34,,2023-03-10,"Registered business for self-employment, another specified activity, employability"
EK-45,,2023-03-01,"Registered business for self-employment, another specified activity, business plan for self-employment, qualifications or skills, sector-specific language training"
LM-45,catch,2023-03-30,"another specified activity, mentoring and/or coaching, work experience"
CP-65,,2023-05-13,"Registered business for self-employment, another specified activity, employability"
QW-76,,2023-03-14,"Volunteering, business plan for self-employment, mentoring and/or coaching, qualifications or skills"
YB-82,,2023-01-30,"Registered business for self-employment, business plan for self-employment, employability, training course"
MF-80,,2023-03-02,"Volunteering, another specified activity, qualifications or skills, sector-specific language training"
UJ-70,,2023-03-28,"Internship, Volunteering, mentoring and/or coaching, sector-specific language training"
HX-97,ten,2023-02-25,"Registered business for self-employment, training course"
EU-00,,2023-02-19,"Registered business for self-employment, employability, mentoring and/or coaching"
LS-59,sit,2023-03-30,"Internship, another specified activity, business plan for self-employment, mentoring and/or coaching"
RN-99,,2023-05-31,"Internship, qualifications or skills, sector-specific language training"
ZF-11,,2023-04-01,"business plan for self-employment, employability, sector-specific language training, work experience"
FV-43,,2023-01-23,"Registered business for self-employment, Volunteering, another specified activity, training course"
CW-58,,2023-04-08,"Internship, employability, sector-specific language training"
FV-77,image,2023-01-18,"Registered business for self-employment, Volunteering, another specified activity, business plan for self-employment"
FN-77,,2023-04-07,"Volunteering, another specified activity, qualifications or skills"
KN-40,during,2023-01-15,"Volunteering, qualifications or skills"
MU-93,,2023-04-22,"Volunteering, business plan for self-employment, employability"
GA-76,condition,2023-02-07,"another specified activity, employability, mentoring and/or coaching"
QM-62,,2023-05-24,"Registered business for self-employment, Volunteering, qualifications or skills, sector-specific language training"
FM-15,,2023-03-08,"Internship, mentoring and/or coaching, qualifications or skills, sector-specific language training"
FG-81,,2023-01-23,"Internship, training course, work experience"
VQ-14,,2023-02-22,"employability, mentoring and/or coaching, sector-specific language training"
LW-80,,2023-05-04,"Volunteering, another specified activity, business plan for self-employment"
TO-36,keep,2023-04-01,"mentoring and/or coaching, qualifications or skills, work experience"
HB-78,decade,2023-04-26,"Registered business for self-employment, business plan for self-employment, mentoring and/or coaching, training course"
EU-40,,2023-02-21,"Internship, another specified activity, training course, work experience"
DH-78,office,2023-04-30,"Registered business for self-employment, employability, mentoring and/or coaching, work experience"
RW-02,which,2023-04-02,"business plan for self-employment, mentoring and/or coaching, qualifications or skills"
BR-72,note,2023-04-01,"another specified activity, training course, work experience"
AS-46,strong,2023-04-04,"Internship, Volunteering, work experience"
EB-25,,2023-01-13,"Registered business for self-employment, Volunteering, business plan for self-employment, employability"
RO-20,,2023-03-17,"Registered business for self-employment, another specified activity, sector-specific language training"
VS-86,manager,2023-04-23,"Volunteering, business plan for self-employment, qualifications or skills, sector-specific language training"
BW-37,,2023-05-31,"business plan for self-employment, employability, mentoring and/or coaching, sector-specific language training"
ED-13,half,2023-04-21,"Internship, Registered business for self-employment, business plan for self-employment, qualifications or skills"
AZ-55,,2023-05-31,"Internship, Registered business for self-employment, Volunteering, training course, work experience"
XO-54,,2023-04-27,"Registered business for self-employment, Volunteering, business plan for self-employment"
HD-17,true,2023-02-07,"Internship, Volunteering, business plan for self-employment, training course"
OX-88,need,2023-03-02,"Registered business for self-employment, employability"
